gene_id	gene_name	number_of_cells_expressed
ENSG00000142676	RPL11	6665553
ENSG00000169045	HNRNPH1	6655035
ENSG00000103657	HERC1	6647334
ENSG00000078369	GNB1	6643362
ENSG00000069275	NUCKS1	6638912
ENSG00000060237	WNK1	6634749
ENSG00000164548	TRA2A	6631221
ENSG00000063177	RPL18	6626114
ENSG00000196712	NF1	6625580
ENSG00000185787	MORF4L1	6625085
ENSG00000196776	CD47	6623449
ENSG00000131018	SYNE1	6618958
ENSG00000168137	SETD5	6616727
ENSG00000142937	RPS8	6612010
ENSG00000089009	RPL6	6598471
ENSG00000123636	BAZ2B	6595879
ENSG00000114861	FOXP1	6592950
ENSG00000198840	MT-ND3	6591517
ENSG00000067225	PKM	6583721
ENSG00000101558	VAPA	6582527
ENSG00000133812	SBF2	6579176
ENSG00000104388	RAB2A	6578528
ENSG00000118007	STAG1	6575781
ENSG00000115419	GLS	6574462
ENSG00000187391	MAGI2	6574201
ENSG00000117616	RSRP1	6573233
ENSG00000147548	NSD3	6572085
ENSG00000089220	PEBP1	6568058
ENSG00000188846	RPL14	6557868
ENSG00000112701	SENP6	6556555
ENSG00000145362	ANK2	6551857
ENSG00000120616	EPC1	6545624
ENSG00000129636	ITFG1	6542842
ENSG00000156052	GNAQ	6538874
ENSG00000175161	CADM2	6535866
ENSG00000113558	SKP1	6534631
ENSG00000009413	REV3L	6532350
ENSG00000121741	ZMYM2	6529397
ENSG00000100316	RPL3	6519557
ENSG00000164587	RPS14	6518165
ENSG00000082805	ERC1	6516649
ENSG00000074054	CLASP1	6516244
ENSG00000113448	PDE4D	6513037
ENSG00000149273	RPS3	6512428
ENSG00000102804	TSC22D1	6511640
ENSG00000174373	RALGAPA1	6508344
ENSG00000102908	NFAT5	6503199
ENSG00000145592	RPL37	6502218
ENSG00000168066	SF1	6496971
ENSG00000113391	FAM172A	6495123
ENSG00000198888	MT-ND1	6495100
ENSG00000135090	TAOK3	6493587
ENSG00000106052	TAX1BP1	6482640
ENSG00000157985	AGAP1	6481149
ENSG00000185658	BRWD1	6478340
ENSG00000145743	FBXL17	6471831
ENSG00000153310	CYRIB	6471546
ENSG00000156482	RPL30	6469619
ENSG00000132485	ZRANB2	6466908
ENSG00000101596	SMCHD1	6463275
ENSG00000144224	UBXN4	6459928
ENSG00000075711	DLG1	6456260
ENSG00000139644	TMBIM6	6455368
ENSG00000123416	TUBA1B	6452633
ENSG00000157764	BRAF	6447052
ENSG00000058272	PPP1R12A	6444858
ENSG00000124831	LRRFIP1	6436534
ENSG00000144036	EXOC6B	6431243
ENSG00000198408	OGA	6431118
ENSG00000065883	CDK13	6429582
ENSG00000055917	PUM2	6427307
ENSG00000008294	SPAG9	6426630
ENSG00000079246	XRCC5	6425775
ENSG00000104517	UBR5	6424094
ENSG00000164830	OXR1	6422381
ENSG00000127483	HP1BP3	6415285
ENSG00000156110	ADK	6412134
ENSG00000198589	LRBA	6409028
ENSG00000147905	ZCCHC7	6408496
ENSG00000166913	YWHAB	6402852
ENSG00000077549	CAPZB	6390023
ENSG00000134744	TUT4	6384240
ENSG00000144357	UBR3	6382535
ENSG00000068305	MEF2A	6380628
ENSG00000052841	TTC17	6380224
ENSG00000182247	UBE2E2	6380076
ENSG00000179912	R3HDM2	6376935
ENSG00000148303	RPL7A	6374162
ENSG00000143776	CDC42BPA	6374029
ENSG00000171863	RPS7	6368440
ENSG00000132670	PTPRA	6363537
ENSG00000075539	FRYL	6362781
ENSG00000164327	RICTOR	6356814
ENSG00000112531	QKI	6356337
ENSG00000197111	PCBP2	6348327
ENSG00000108298	RPL19	6347282
ENSG00000118058	KMT2A	6346825
ENSG00000140386	SCAPER	6340938
ENSG00000075413	MARK3	6338909
ENSG00000071054	MAP4K4	6331373
ENSG00000141376	BCAS3	6325442
ENSG00000110075	PPP6R3	6320446
ENSG00000141002	TCF25	6319670
ENSG00000233927	RPS28	6319629
ENSG00000132549	VPS13B	6319611
ENSG00000177600	RPLP2	6318320
ENSG00000171530	TBCA	6311189
ENSG00000182985	CADM1	6307143
ENSG00000186153	WWOX	6304602
ENSG00000114331	ACAP2	6302444
ENSG00000138688	BLTP1	6300272
ENSG00000070961	ATP2B1	6292439
ENSG00000196531	NACA	6291406
ENSG00000185420	SMYD3	6291204
ENSG00000048649	RSF1	6290562
ENSG00000139746	RBM26	6290381
ENSG00000010244	ZNF207	6282196
ENSG00000090863	GLG1	6274109
ENSG00000170144	HNRNPA3	6269266
ENSG00000119048	UBE2B	6267434
ENSG00000166233	ARIH1	6264536
ENSG00000033800	PIAS1	6263361
ENSG00000196628	TCF4	6260230
ENSG00000196405	EVL	6259508
ENSG00000082701	GSK3B	6252851
ENSG00000161016	RPL8	6248601
ENSG00000139793	MBNL2	6248402
ENSG00000187239	FNBP1	6245260
ENSG00000135655	USP15	6242421
ENSG00000139218	SCAF11	6241942
ENSG00000091039	OSBPL8	6241267
ENSG00000061987	MON2	6240203
ENSG00000174485	DENND4A	6232231
ENSG00000152520	PAN3	6231684
ENSG00000115355	CCDC88A	6228962
ENSG00000070831	CDC42	6226673
ENSG00000156475	PPP2R2B	6224268
ENSG00000204842	ATXN2	6211079
ENSG00000110696	C11orf58	6206509
ENSG00000108953	YWHAE	6206176
ENSG00000198763	MT-ND2	6203530
ENSG00000075785	RAB7A	6200020
ENSG00000072364	AFF4	6199073
ENSG00000131143	COX4I1	6195805
ENSG00000065243	PKN2	6193431
ENSG00000109180	OCIAD1	6178468
ENSG00000114062	UBE3A	6177071
ENSG00000107077	KDM4C	6173010
ENSG00000145495	MARCHF6	6171562
ENSG00000177954	RPS27	6167028
ENSG00000106443	PHF14	6165865
ENSG00000009307	CSDE1	6164630
ENSG00000182899	RPL35A	6162837
ENSG00000172757	CFL1	6158419
ENSG00000140718	FTO	6158316
ENSG00000170242	USP47	6157097
ENSG00000140396	NCOA2	6154719
ENSG00000198034	RPS4X	6151184
ENSG00000142875	PRKACB	6146558
ENSG00000113269	RNF130	6145847
ENSG00000181555	SETD2	6143201
ENSG00000141627	DYM	6141934
ENSG00000108100	CCNY	6141796
ENSG00000123106	CCDC91	6141590
ENSG00000148634	HERC4	6140369
ENSG00000114391	RPL24	6140336
ENSG00000112306	RPS12	6127098
ENSG00000034510	TMSB10	6126669
ENSG00000138081	FBXO11	6120851
ENSG00000163625	WDFY3	6119973
ENSG00000157540	DYRK1A	6114377
ENSG00000018189	RUFY3	6114338
ENSG00000066933	MYO9A	6113776
ENSG00000184903	IMMP2L	6110459
ENSG00000038382	TRIO	6107748
ENSG00000130522	JUND	6104774
ENSG00000080503	SMARCA2	6103437
ENSG00000169567	HINT1	6102856
ENSG00000186468	RPS23	6100041
ENSG00000107863	ARHGAP21	6097082
ENSG00000149806	FAU	6095213
ENSG00000105372	RPS19	6081417
ENSG00000172915	NBEA	6077452
ENSG00000107771	CCSER2	6072246
ENSG00000066084	DIP2B	6071813
ENSG00000171862	PTEN	6071447
ENSG00000165119	HNRNPK	6069424
ENSG00000173273	TNKS	6065243
ENSG00000153707	PTPRD	6054376
ENSG00000092964	DPYSL2	6054119
ENSG00000196199	MPHOSPH8	6052345
ENSG00000197102	DYNC1H1	6046134
ENSG00000197555	SIPA1L1	6045423
ENSG00000122026	RPL21	6044804
ENSG00000145349	CAMK2D	6044449
ENSG00000104852	SNRNP70	6041430
ENSG00000131711	MAP1B	6040535
ENSG00000078140	UBE2K	6040214
ENSG00000093167	LRRFIP2	6035417
ENSG00000220205	VAMP2	6028586
ENSG00000113742	CPEB4	6028053
ENSG00000160551	TAOK1	6027820
ENSG00000153827	TRIP12	6026870
ENSG00000067900	ROCK1	6026403
ENSG00000184226	PCDH9	6019552
ENSG00000148700	ADD3	6018421
ENSG00000078403	MLLT10	6016773
ENSG00000133226	SRRM1	6013463
ENSG00000090060	PAPOLA	6011335
ENSG00000135525	MAP7	6010674
ENSG00000185565	LSAMP	6010135
ENSG00000170634	ACYP2	6007792
ENSG00000143442	POGZ	6007314
ENSG00000113580	NR3C1	6005506
ENSG00000172260	NEGR1	6004997
ENSG00000140319	SRP14	6004695
ENSG00000173120	KDM2A	6003546
ENSG00000186591	UBE2H	6002789
ENSG00000102531	FNDC3A	6000830
ENSG00000010810	FYN	6000683
ENSG00000134644	PUM1	6000675
ENSG00000153944	MSI2	5999244
ENSG00000151276	MAGI1	5997142
ENSG00000145425	RPS3A	5996504
ENSG00000149187	CELF1	5996312
ENSG00000163399	ATP1A1	5995523
ENSG00000131508	UBE2D2	5991075
ENSG00000164808	SPIDR	5987613
ENSG00000062716	VMP1	5986576
ENSG00000163848	ZNF148	5985975
ENSG00000052126	PLEKHA5	5979043
ENSG00000087274	ADD1	5978958
ENSG00000189043	NDUFA4	5974650
ENSG00000143669	LYST	5974448
ENSG00000198947	DMD	5972663
ENSG00000149294	NCAM1	5972265
ENSG00000168028	RPSA	5966673
ENSG00000008083	JARID2	5966182
ENSG00000143207	COP1	5962541
ENSG00000113387	SUB1	5961193
ENSG00000130449	ZSWIM6	5960505
ENSG00000115904	SOS1	5960486
ENSG00000118482	PHF3	5960359
ENSG00000104067	TJP1	5959484
ENSG00000099204	ABLIM1	5957844
ENSG00000197694	SPTAN1	5957543
ENSG00000198382	UVRAG	5954681
ENSG00000084234	APLP2	5950560
ENSG00000109920	FNBP4	5945537
ENSG00000138071	ACTR2	5939168
ENSG00000257923	CUX1	5937637
ENSG00000145996	CDKAL1	5936702
ENSG00000137154	RPS6	5935357
ENSG00000162244	RPL29	5935323
ENSG00000196233	LCOR	5934518
ENSG00000066777	ARFGEF1	5933364
ENSG00000161970	RPL26	5932880
ENSG00000053254	FOXN3	5927379
ENSG00000185345	PRKN	5927330
ENSG00000089737	DDX24	5924909
ENSG00000166326	TRIM44	5924777
ENSG00000163466	ARPC2	5920219
ENSG00000082996	RNF13	5918728
ENSG00000064042	LIMCH1	5916139
ENSG00000197959	DNM3	5915428
ENSG00000140443	IGF1R	5914409
ENSG00000078687	TNRC6C	5911450
ENSG00000168214	RBPJ	5910474
ENSG00000023287	RB1CC1	5909691
ENSG00000180357	ZNF609	5908965
ENSG00000263001	GTF2I	5898948
ENSG00000001629	ANKIB1	5897486
ENSG00000047849	MAP4	5886631
ENSG00000111596	CNOT2	5884298
ENSG00000151320	AKAP6	5877975
ENSG00000056097	ZFR	5877902
ENSG00000012983	MAP4K5	5877299
ENSG00000115875	SRSF7	5876276
ENSG00000153317	ASAP1	5876038
ENSG00000143153	ATP1B1	5875393
ENSG00000122482	ZNF644	5873464
ENSG00000151422	FER	5873358
ENSG00000182667	NTM	5871691
ENSG00000142541	RPL13A	5870554
ENSG00000156831	NSMCE2	5866714
ENSG00000163714	U2SURP	5865339
ENSG00000197535	MYO5A	5863853
ENSG00000092148	HECTD1	5860585
ENSG00000024048	UBR2	5857696
ENSG00000121892	PDS5A	5857020
ENSG00000140988	RPS2	5855968
ENSG00000172264	MACROD2	5855335
ENSG00000110958	PTGES3	5845491
ENSG00000167552	TUBA1A	5843440
ENSG00000078304	PPP2R5C	5841157
ENSG00000143933	CALM2	5839281
ENSG00000196262	PPIA	5839028
ENSG00000124177	CHD6	5838822
ENSG00000157827	FMNL2	5838254
ENSG00000114127	XRN1	5837055
ENSG00000100731	PCNX1	5836037
ENSG00000196586	MYO6	5834506
ENSG00000145715	RASA1	5825359
ENSG00000138668	HNRNPD	5823999
ENSG00000143190	POU2F1	5823044
ENSG00000198900	TOP1	5818068
ENSG00000183826	BTBD9	5817423
ENSG00000130638	ATXN10	5816876
ENSG00000168300	PCMTD1	5814685
ENSG00000229117	RPL41	5812724
ENSG00000127184	COX7C	5811107
ENSG00000135049	AGTPBP1	5808971
ENSG00000080298	RFX3	5808449
ENSG00000168675	LDLRAD4	5804594
ENSG00000197157	SND1	5803505
ENSG00000154310	TNIK	5799610
ENSG00000117569	PTBP2	5797483
ENSG00000151532	VTI1A	5795949
ENSG00000183049	CAMK1D	5794601
ENSG00000173064	HECTD4	5791921
ENSG00000170315	UBB	5791280
ENSG00000135837	CEP350	5791047
ENSG00000166848	TERF2IP	5785284
ENSG00000110700	RPS13	5784810
ENSG00000115524	SF3B1	5779938
ENSG00000021645	NRXN3	5778872
ENSG00000145819	ARHGAP26	5778048
ENSG00000149311	ATM	5776711
ENSG00000141279	NPEPPS	5773682
ENSG00000163682	RPL9	5772106
ENSG00000138698	RAP1GDS1	5771858
ENSG00000118418	HMGN3	5769144
ENSG00000151240	DIP2C	5768481
ENSG00000128512	DOCK4	5768167
ENSG00000165671	NSD1	5767268
ENSG00000119522	DENND1A	5763933
ENSG00000109339	MAPK10	5762991
ENSG00000135365	PHF21A	5761840
ENSG00000048991	R3HDM1	5758870
ENSG00000088538	DOCK3	5756337
ENSG00000169760	NLGN1	5755381
ENSG00000198961	PJA2	5754839
ENSG00000109756	RAPGEF2	5754620
ENSG00000145012	LPP	5752484
ENSG00000158019	BABAM2	5752451
ENSG00000134313	KIDINS220	5750409
ENSG00000118473	SGIP1	5749875
ENSG00000011566	MAP4K3	5748049
ENSG00000164506	STXBP5	5746814
ENSG00000134480	CCNH	5743635
ENSG00000092841	MYL6	5742902
ENSG00000102606	ARHGEF7	5734534
ENSG00000138398	PPIG	5732807
ENSG00000173889	PHC3	5732802
ENSG00000198755	RPL10A	5732340
ENSG00000109670	FBXW7	5731818
ENSG00000257103	LSM14A	5731363
ENSG00000168216	LMBRD1	5729830
ENSG00000166165	CKB	5729726
ENSG00000107643	MAPK8	5729360
ENSG00000198964	SGMS1	5728471
ENSG00000185046	ANKS1B	5728335
ENSG00000196914	ARHGEF12	5728285
ENSG00000075391	RASAL2	5727238
ENSG00000213741	RPS29	5726758
ENSG00000130255	RPL36	5725238
ENSG00000115504	EHBP1	5722612
ENSG00000139220	PPFIA2	5718112
ENSG00000205581	HMGN1	5714873
ENSG00000102910	LONP2	5714664
ENSG00000116209	TMEM59	5714241
ENSG00000102763	VWA8	5714016
ENSG00000175582	RAB6A	5712201
ENSG00000150347	ARID5B	5709551
ENSG00000206560	ANKRD28	5709133
ENSG00000143951	WDPCP	5708614
ENSG00000151474	FRMD4A	5705981
ENSG00000184588	PDE4B	5704249
ENSG00000138430	OLA1	5698180
ENSG00000029363	BCLAF1	5697936
ENSG00000143420	ENSA	5697772
ENSG00000166295	ANAPC16	5688447
ENSG00000198399	ITSN2	5687805
ENSG00000178980	SELENOW	5686455
ENSG00000114439	BBX	5686077
ENSG00000172765	TMCC1	5686051
ENSG00000126070	AGO3	5682475
ENSG00000067715	SYT1	5681584
ENSG00000196284	SUPT3H	5680566
ENSG00000082068	WDR70	5680167
ENSG00000153814	JAZF1	5680119
ENSG00000083642	PDS5B	5677589
ENSG00000121390	PSPC1	5675427
ENSG00000204217	BMPR2	5672924
ENSG00000174501	ANKRD36C	5671811
ENSG00000109381	ELF2	5669792
ENSG00000204120	GIGYF2	5666946
ENSG00000088179	PTPN4	5666030
ENSG00000177570	SAMD12	5664899
ENSG00000189283	FHIT	5664790
ENSG00000141367	CLTC	5664356
ENSG00000106554	CHCHD3	5662639
ENSG00000184305	CCSER1	5662429
ENSG00000143198	MGST3	5661818
ENSG00000185630	PBX1	5661242
ENSG00000156650	KAT6B	5659183
ENSG00000054282	SDCCAG8	5656359
ENSG00000118181	RPS25	5656185
ENSG00000124406	ATP8A1	5654086
ENSG00000170889	RPS9	5653367
ENSG00000137478	FCHSD2	5653259
ENSG00000088986	DYNLL1	5646752
ENSG00000204628	RACK1	5646522
ENSG00000167283	ATP5MG	5645770
ENSG00000135298	ADGRB3	5645390
ENSG00000165487	MICU2	5644668
ENSG00000134851	TMEM165	5643832
ENSG00000270647	TAF15	5641971
ENSG00000077254	USP33	5639582
ENSG00000145675	PIK3R1	5637433
ENSG00000156467	UQCRB	5632863
ENSG00000198363	ASPH	5631805
ENSG00000077157	PPP1R12B	5631431
ENSG00000151779	NBAS	5629240
ENSG00000135976	ANKRD36	5628147
ENSG00000154001	PPP2R5E	5627529
ENSG00000170921	TANC2	5626109
ENSG00000108510	MED13	5619834
ENSG00000114416	FXR1	5619084
ENSG00000084733	RAB10	5618256
ENSG00000169862	CTNND2	5617352
ENSG00000138069	RAB1A	5616767
ENSG00000166012	TAF1D	5615364
ENSG00000118689	FOXO3	5614725
ENSG00000155903	RASA2	5614101
ENSG00000137776	SLTM	5613479
ENSG00000167658	EEF2	5612843
ENSG00000091157	WDR7	5612807
ENSG00000198265	HELZ	5612731
ENSG00000144283	PKP4	5607722
ENSG00000136942	RPL35	5605141
ENSG00000198586	TLK1	5604799
ENSG00000137845	ADAM10	5603052
ENSG00000130066	SAT1	5602851
ENSG00000161011	SQSTM1	5602684
ENSG00000048707	VPS13D	5598193
ENSG00000117859	OSBPL9	5594354
ENSG00000104408	EIF3E	5593729
ENSG00000134308	YWHAQ	5592448
ENSG00000112851	ERBIN	5588631
ENSG00000111897	SERINC1	5588223
ENSG00000168036	CTNNB1	5584882
ENSG00000232112	TMA7	5583807
ENSG00000078618	NRDC	5575798
ENSG00000054118	THRAP3	5575704
ENSG00000111912	NCOA7	5572769
ENSG00000103769	RAB11A	5571974
ENSG00000123562	MORF4L2	5569517
ENSG00000107341	UBE2R2	5568075
ENSG00000172869	DMXL1	5565829
ENSG00000082898	XPO1	5563260
ENSG00000138443	ABI2	5560613
ENSG00000120742	SERP1	5560006
ENSG00000036257	CUL3	5559610
ENSG00000075415	SLC25A3	5559065
ENSG00000100592	DAAM1	5558503
ENSG00000136238	RAC1	5558405
ENSG00000164329	TENT2	5557355
ENSG00000123349	PFDN5	5553522
ENSG00000164597	COG5	5553313
ENSG00000078018	MAP2	5552229
ENSG00000100697	DICER1	5550236
ENSG00000028203	VEZT	5548329
ENSG00000111605	CPSF6	5546197
ENSG00000029725	RABEP1	5544780
ENSG00000115839	RAB3GAP1	5536253
ENSG00000168172	HOOK3	5536178
ENSG00000253729	PRKDC	5534818
ENSG00000112739	PRPF4B	5529678
ENSG00000157837	SPPL3	5529421
ENSG00000169554	ZEB2	5525129
ENSG00000156642	NPTN	5520766
ENSG00000166734	GOLM2	5518630
ENSG00000101040	ZMYND8	5518277
ENSG00000173230	GOLGB1	5517338
ENSG00000166974	MAPRE2	5516179
ENSG00000198625	MDM4	5516004
ENSG00000040341	STAU2	5515501
ENSG00000165525	NEMF	5513575
ENSG00000189337	KAZN	5512905
ENSG00000168702	LRP1B	5511309
ENSG00000134982	APC	5506965
ENSG00000163728	TTC14	5505739
ENSG00000088448	ANKRD10	5504131
ENSG00000087470	DNM1L	5503759
ENSG00000005339	CREBBP	5503656
ENSG00000171132	PRKCE	5502442
ENSG00000175198	PCCA	5502383
ENSG00000180628	PCGF5	5501967
ENSG00000011454	RABGAP1	5498612
ENSG00000136527	TRA2B	5498070
ENSG00000141447	OSBPL1A	5496864
ENSG00000048052	HDAC9	5496247
ENSG00000099783	HNRNPM	5495592
ENSG00000046653	GPM6B	5495401
ENSG00000107864	CPEB3	5494980
ENSG00000198162	MAN1A2	5492846
ENSG00000173660	UQCRH	5491180
ENSG00000105193	RPS16	5490480
ENSG00000130779	CLIP1	5488199
ENSG00000061676	NCKAP1	5486022
ENSG00000083312	TNPO1	5485114
ENSG00000168785	TSPAN5	5483564
ENSG00000134318	ROCK2	5482167
ENSG00000112249	ASCC3	5481473
ENSG00000147526	TACC1	5481346
ENSG00000100154	TTC28	5479719
ENSG00000148516	ZEB1	5479483
ENSG00000031003	FAM13B	5478699
ENSG00000100852	ARHGAP5	5475018
ENSG00000166710	B2M	5472662
ENSG00000241973	PI4KA	5470095
ENSG00000196792	STRN3	5469567
ENSG00000156011	PSD3	5469452
ENSG00000125868	DSTN	5468724
ENSG00000146463	ZMYM4	5465302
ENSG00000033170	FUT8	5462192
ENSG00000143549	TPM3	5461520
ENSG00000146414	SHPRH	5459409
ENSG00000054965	FAM168A	5458861
ENSG00000123983	ACSL3	5458022
ENSG00000017260	ATP2C1	5456495
ENSG00000138101	DTNB	5456135
ENSG00000198242	RPL23A	5454714
ENSG00000078747	ITCH	5453038
ENSG00000158528	PPP1R9A	5451254
ENSG00000145734	BDP1	5450945
ENSG00000185774	KCNIP4	5450440
ENSG00000106153	CHCHD2	5449403
ENSG00000080802	CNOT4	5448055
ENSG00000167632	TRAPPC9	5447920
ENSG00000166501	PRKCB	5446523
ENSG00000073803	MAP3K13	5444675
ENSG00000163939	PBRM1	5444324
ENSG00000139910	NOVA1	5443983
ENSG00000171867	PRNP	5443640
ENSG00000109654	TRIM2	5442879
ENSG00000146416	AIG1	5441828
ENSG00000157106	SMG1	5439935
ENSG00000127314	RAP1B	5438533
ENSG00000147677	EIF3H	5435118
ENSG00000175115	PACS1	5435060
ENSG00000147162	OGT	5433952
ENSG00000003756	RBM5	5433628
ENSG00000145416	MARCHF1	5433538
ENSG00000122507	BBS9	5432997
ENSG00000197601	FAR1	5430619
ENSG00000163681	SLMAP	5430276
ENSG00000116473	RAP1A	5428306
ENSG00000169967	MAP3K2	5428039
ENSG00000139116	KIF21A	5418502
ENSG00000176406	RIMS2	5416258
ENSG00000217128	FNIP1	5415143
ENSG00000129625	REEP5	5414988
ENSG00000182197	EXT1	5413842
ENSG00000070214	SLC44A1	5412931
ENSG00000135968	GCC2	5412130
ENSG00000172809	RPL38	5410912
ENSG00000185305	ARL15	5410397
ENSG00000011295	TTC19	5410074
ENSG00000163125	RPRD2	5406894
ENSG00000166833	NAV2	5405488
ENSG00000100239	PPP6R2	5403255
ENSG00000143761	ARF1	5401748
ENSG00000083168	KAT6A	5400129
ENSG00000137871	ZNF280D	5395004
ENSG00000171603	CLSTN1	5394300
ENSG00000134769	DTNA	5393028
ENSG00000076685	NT5C2	5392000
ENSG00000198786	MT-ND5	5391045
ENSG00000164919	COX6C	5388653
ENSG00000117335	CD46	5387631
ENSG00000138032	PPM1B	5386721
ENSG00000087095	NLK	5386679
ENSG00000134419	RPS15A	5385910
ENSG00000231500	RPS18	5385480
ENSG00000150625	GPM6A	5385204
ENSG00000079819	EPB41L2	5384252
ENSG00000074800	ENO1	5382276
ENSG00000067560	RHOA	5382113
ENSG00000088387	DOCK9	5380326
ENSG00000116731	PRDM2	5379951
ENSG00000170456	DENND5B	5379607
